name,smiles,name_id,count
Sulfate,O=S(=O)([O-])[O-],so4_e,5
Thiamin,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.[Cl-],thm_e,19
Trimethylamine,CN(C)C,tma_e,4
Phosphate,O=P(O)(O)O,pi_e,5
(R)-Pantothenate,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-],pnto__R_e,15
L-Proline,O=C(O)C1CCCN1,pro__L_e,8
H+,[H+],h_c,0
2 3 Disphospho D glycerate C3H3O10P2,O=C([O-])C(COP(=O)([O-])[O-])OP(=O)([O-])[O-],23dpg_c,15
ATP C10H12N5O13P3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,atp_c,31
D-Glycerate 2-phosphate,O=C([O-])[C@@H](CO)OP(=O)([O-])[O-],2pg_c,11
ADP C10H12N5O10P2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,adp_c,27
2-phospho-L-lactate,C[C@H](OP(=O)(O)O)C(=O)O,2plac__L_c,10
GTP C10H12N5O14P3,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,gtp_c,32
L-Lactate,C[C@H](O)C(=O)[O-],lac__L_c,6
GDP C10H12N5O11P2,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,gdp_c,28
4-Aminobenzoate,Nc1ccc(C(=O)O)cc1,4abz_c,10
Chorismate,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O,chor_c,16
L-Arginine,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)O,arg__L_c,12
L-Citrulline,NC(=O)NCCCC(N)C(=O)O,citr__L_c,12
N(omega)-(L-Arginino)succinate,[NH2+]=C(NCCC[C@H]([NH3+])C(=O)[O-])NC(CC(=O)[O-])C(=O)[O-],argsuc_c,20
N-Acetyl-L-glutamate 5-semialdehyde,CC(=O)N[C@@H](CCC=O)C(=O)O,acg5sa_c,12
N2-Acetyl-L-ornithine,CC(=O)N[C@@H](CCCN)C(=O)O,acorn_c,12
Riboflavin C17H20N4O6,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,ribflv_c,27
Nicotinamide adenine dinucleotide,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,nad_c,44
FMN C17H19N4O9P,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,fmn_c,31
Nicotinamide adenine dinucleotide - reduced,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,nadh_c,44
L-Aspartate 4-semialdehyde,N[C@@H](CC=O)C(=O)O,aspsa_c,8
L-Serine,NC(CO)C(=O)[O-],ser__L_c,7
4-Phospho-L-aspartate,N[C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-],4pasp_c,13
H2O H2O,[OH4+2],h2o_c,1
L-Cysteine,NC(C[S-])C(=O)[O-],cys__L_c,7
AMP C10H12N5O7P,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,amp_c,23
L-Threonine,C[C@@H](O)[C@H](N)C(=O)O,thr__L_c,8
4-Aminobutanoate,NCCCC(=O)O,4abut_c,7
"2,3-O-phytanyl-sn-glycero-1-phosphoserine",CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CCOC[C@@H](COP(=O)(O)OC[C@H](N)C(=O)O)OCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,dpgps_c,56
 R  Acetoin C4H8O2,CC(=O)[C@@H](C)O,actn__R_e,6
Succinic semialdehyde,O=CCCC(=O)O,sucsal_c,7
L-Glutamate,[2H]C([2H])(C(=O)O)C([2H])([2H])C([2H])(N)C(=O)O,glu__L_c,10
L-Asparagine,NC(=O)CC(N)C(=O)O,asn__L_c,9
2-Oxoglutarate,O=C([O-])CCC(=O)C(=O)[O-],akg_c,10
Beta-Alanine,NCCC(=O)[O-],ala_B_c,6
3-Phospho-D-glyceroyl phosphate,O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-],13dpg_c,15
Acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,aacoa_c,54
3-Phospho-D-glycerate,O=C(O)[C@H](O)COP(=O)(O)O,3pg_c,11
N-Carbamoyl-L-aspartate,NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-],cbasp_c,12
Acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],accoa_c,51
Carbamoyl phosphate,NC(=O)OP(=O)([O-])[O-],cbp_c,8
Coenzyme A,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,coa_c,48
Diphosphate,O=P([O-])(O)OP(=O)([O-])O,ppi_c,9
Oxaloacetate,O=C([O-])CC(=O)C(=O)[O-],oaa_c,9
Pyruvate,CC(=O)C(=O)O,pyr_e,6
Adenosine-GDP-cobinamide,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)(O)OP(=O)(O)OC[C@H]6O[C@@H](n8cnc9c(=O)[nH]c(N)nc98)[C@H](O)[C@@H]6O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,agdpcbi_c,113
Adenosyl cobinamide phosphate,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)(O)O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,adocbip_c,90
Propanoyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],ppcoa_c,52
N-Acetyl-L-glutamyl 5-phosphate,CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O,acg5p_c,17
N-Acetyl-L-glutamate,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,acglu_c,13
1-(5-Phosphoribosyl)-ATP,N=c1c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,prbatp_c,44
2-Oxobutanoate,CCC(=O)C(=O)[O-],2obut_c,7
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,atrz_c,14
Acetate,CC(=O)O,ac_e,4
(S)-2-Aceto-2-hydroxybutanoate,CC[C@](O)(C(C)=O)C(=O)O,2ahbut_c,10
Chloride,Cl,cl_c,1
Hydroxyatrazine,CCNc1nc(O)nc(NC(C)C)n1,hatrz_c,14
CO2 CO2,O=C=O,co2_c,3
Acetyl phosphate,CC(=O)OP(=O)([O-])O,actp_c,8
D-1-Aminopropan-2-ol O-phosphate,C[C@H](C[NH3+])OP(=O)([O-])[O-],applp_c,9
(S)-2-Acetolactate,CC(=O)[C@](C)(O)C(=O)O,alac__S_c,9
S-Adenosyl-L-methionine,C[S@@+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,amet_c,27
Trans-Aconitate,O=C([O-])C=C(CC(=O)[O-])C(=O)[O-],acon_T_c,12
Biotin,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,btn_c,16
Adenosyl-cobyric acid,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,adcobhex_c,82
E-3-carboxy-2-pentenedioate 6-methyl ester,COC(=O)/C(=C/C(=O)[O-])CC(=O)[O-],aconm_c,13
S-Adenosyl-L-homocysteine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,ahcys_c,26
L-Glutamine,NC(=O)CCC([NH3+])C(=O)O,gln__L_c,10
Citrate,O=C(O)CC(O)(CC(=O)O)C(=O)[O-],cit_c,13
Isocitrate,O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-],icit_c,13
Ammonium,N,nh4_c,1
Cobalt-precorrin 4,CC1OC(=O)C[C@@]2(C)[C@H](CCC(=O)O)C3=CC4=[N+]5C(=Cc6c(CC(=O)O)c(CCC(=O)O)c7n6[Co-2]56N3C12C1=C(CC(=O)O)[C@@](C)(CCC(=O)O)C(=[N+]16)C7)[C@@H](CCC(=O)O)[C@]4(C)CC(=O)O,copre4_c,65
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,hxan_c,10
"(3S)-3,6-Diaminohexanoate",[NH3+]CCC[C@H]([NH3+])CC(=O)[O-],36dahx_c,10
Adenine,Nc1ncnc2[nH]cnc12,ade_c,10
Inorganic triphosphate,O=P([O-])(O)OP(=O)([O-])OP(=O)([O-])O,pppi_c,13
IDP C10H11N4O11P2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,idp_c,27
ITP C10H11N4O14P3,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,itp_c,31
Cobalt-precorrin 8,CC1=C2[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)[C@]3(C)[C@H]4[C@H](CC(=O)O)[C@@](C)(CCC(=O)O)C5=[N+]4[Co-3]4(N23)[N+]2=C1[C@@](C)(CC(=O)O)C(CCC(=O)O)=C2C[C@@]1(C)C(C)=C(CCC(=O)O)C(=[N+]14)C5C,copre8_c,64
DAMP C10H12N5O6P,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,damp_c,22
Sulfur,[S],s_c,1
Cobalt-dihydro-precorrin 6,C[C@]1(CC(=O)[O-])C(CCC(=O)[O-])=C2C[C@@]3(C)C(CC(=O)[O-])=C(CCC(=O)[O-])C4=[N+]3[Co-2]35N6C(=CC1=[N+]23)[C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])[C@]6(C)[C@H]1[C@H](CC(=O)[O-])[C@@](C)(CCC(=O)[O-])C(=[N+]15)C4,codhpre6_c,65
DATP C10H12N5O12P3,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1,datp_c,30
Cobyrinate,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+])[C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-],cobya_c,64
DADP C10H12N5O9P2,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,dadp_c,26
Uracil,O=c1cc[nH]c(=O)[nH]1,ura_c,8
CAMP C10H11N5O6P,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,camp_c,22
Dethiobiotin,C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)O,dtbt_c,15
Calcium,[Ca+2],ca2_c,1
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,adn_c,19
Cytosine,Nc1cc[nH]c(=O)n1,csn_c,8
1-Aminopropan-2-ol,C[C@@H](O)C[NH3+],appl_c,5
UTP C9H11N2O15P3,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,utp_c,29
GMP C10H12N5O8P,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,gmp_c,24
Hydrogen peroxide,[O-]O,h2o2_c,2
"Cob(I)yrinate a,c diamide",CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(=O)[O-])[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]6(C)CC(N)=O)[Co-3]753)[C@@H](CCC(=O)[O-])C4(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O,co1dam_c,64
O2 O2,O=O,o2_c,2
O-Acetyl-L-serine,CC(=O)OC[C@H]([NH3+])C(=O)[O-],acser_c,10
5-Phospho-alpha-D-ribose 1-diphosphate,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,prpp_c,22
Fumarate,O=C([O-])C=CC(=O)[O-],fum_c,8
"N6-(1,2-Dicarboxyethyl)-AMP",O=C([O-])CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)[O-],dcamp_c,31
Cob(I)alamin,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-4]753[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,cbl1_e,91
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,25aics_c,30
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1N,aicar_c,22
Cadmium,[Cd+2],cd2_c,1
L-Aspartate,N[C@@H](CC(=O)O)C(=O)O,asp__L_c,9
CDP C9H12N3O11P2,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,cdp_c,25
IMP C10H11N4O8P,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,imp_c,23
Glycerol 1-phosphate,O=P(O)(O)OCC(O)CO,glyc1p_c,10
DCMP C9H12N3O7P,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,dcmp_c,20
CMP C9H12N3O8P,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1,cmp_c,21
UDP C9H11N2O12P2,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,udp_c,25
DCDP C9H12N3O10P2,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,dcdp_c,24
Copper,[Cu+2],cu2_c,1
UDP-N-acetyl-D-glucosamine,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,uacgam_c,39
CTP C9H12N3O14P3,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1,ctp_c,29
"Meso-2,6-Diaminoheptanedioate",N[C@@H](CCC[C@@H](N)C(=O)[O-])C(=O)[O-],26dap__M_c,13
Urea CH4N2O,NC(N)=O,urea_c,4
L-Lysine,[NH3+]CCCCC([NH3+])C(=O)[O-],lys__L_c,10
Agmatine,N=C(N)NCCCCN,agm_c,9
Putrescine,NCCCCN,ptrc_c,6
"2,3,4,5-Tetrahydrodipicolinate",O=C([O-])C1=NC(C(=O)[O-])CCC1,thdp_c,12
Nicotinamide adenine dinucleotide phosphate,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,nadp_c,48
D-Ribulose 5-phosphate,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,ru5p__D_c,14
Nicotinamide adenine dinucleotide phosphate - reduced,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,nadph_c,48
Myo-Inositol,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,inost_c,12
"3,4-dihydroxy-2-butanone 4-phosphate",CC(=O)C(O)COP(=O)(O)O,db4p_c,11
"Cyclic 2,3-bisphospho-D-glycerate",O=C(O)[C@H]1COP(=O)(O)OP(=O)(O)O1,cdpg_c,14
L-Homocysteine,[NH3+][C@@H](CCS)C(=O)[O-],hcys__L_c,8
(S)-2-Hydroxyglutarate,O=C(O)CC[C@H](O)C(=O)O,S2hglut_c,10
DUMP C9H11N2O8P,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1,dump_c,20
4-Amino-5-hydroxymethyl-2-methylpyrimidine,Cc1ncc(CO)c(N)n1,4ahmmp_c,10
Coenzyme F390 (adenosine),C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)cc21)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,f390a_c,75
